鄉鎮市區,交易標的,土地位置建物門牌,都市土地使用分區,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,土地移轉總面積平方公尺,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位移轉總面積(平方公尺),車位總價元,主建物面積,附屬建物面積,陽台面積,電梯,Lat,Lng
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路６３號十四樓,住,1080526,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,20.69,121,2,2,1,有,有,8289000,72346,26.98,1487000,55.46,0,7.23,有,24.9430881,121.2473908
中壢區,房地(土地+建物)+車位,桃園市中壢區文智路１６６號十一樓,住,1110329,土地1建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,41.35,259.94,3,2,2,有,有,26450000,101754,0,0,135.59,4.29,13.8,有,25.0019025,121.2089504
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路６７號六樓,住,1080305,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,26.38,154.22,3,2,2,有,有,10506000,71715,26.98,1381000,76.89,0,7.95,有,24.9430589,121.2473618
中壢區,房地(土地+建物),桃園市中壢區龍慈路５１號四樓,住,1080615,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,16.18,94.55,2,2,1,有,有,6723000,71105,0,0,55.82,0,7.23,有,24.9432607,121.2473737
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路７７號四樓,住,1080412,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,20.69,121,2,2,1,有,有,8069000,71134,26.98,1381000,55.46,0,7.23,有,24.9429858,121.2472893
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路７３號十一樓,住,1080222,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,26.38,154.22,3,2,2,有,有,10541000,71990,26.98,1381000,76.89,0,7.95,有,24.9430151,121.2473183
中壢區,房地(土地+建物),桃園市中壢區福壽一街６５號,住,1110322,土地1建物1車位0,一層，二層,十四層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,12.63,79.49,2,2,2,有,有,920000,11574,0,0,67.06,7.01,0,有,24.9641801,121.2311616
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路７５號,住,1100919,土地1建物1車位1,一層，見其他登記事項,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,47.04,274.93,0,0,0,無,有,41245000,160347,26.98,1487000,154.96,0,10.37,有,24.9430004,121.2473038
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路５１號十四樓,住,1080428,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,20.79,121.53,2,2,1,有,有,8324000,72311,26.98,1487000,55.82,0,7.23,有,24.9432607,121.2473737
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路５３號十四樓,住,1080428,土地1建物1車位1,十四層,十五層,其他,住家用,鋼筋混凝土造,20.89,122.09,2,2,1,有,有,8368000,72348,26.98,1487000,57.63,0,5.79,有,24.9432461,121.2473592
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路５３號三樓,住,1100604,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,20.55,119.97,2,2,1,有,有,8174000,71423,24.86,1381000,57.63,0,5.79,有,24.9432461,121.2473592
中壢區,房地(土地+建物),桃園市中壢區龍慈路５９號三樓,住,1101130,土地1建物1車位0,三層,十五層,其他,住家用,鋼筋混凝土造,16.27,95.11,2,2,1,有,有,6793000,71423,0,0,57.63,0,5.79,有,24.9431174,121.2474198
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路８５號六樓,住,1100816,土地1建物1車位1,六層,十五層,其他,住家用,鋼筋混凝土造,20.71,121.1,2,2,1,有,有,8236000,71706,26.98,1487000,55.53,0,7.23,有,24.9429273,121.2472313
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路５５號六樓,住,1090620,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,23.26,135.96,2,2,2,有,有,9301000,71701,26.98,1487000,64.02,0,8.64,有,24.9431466,121.2474488
中壢區,房地(土地+建物),桃園市中壢區中北路７８號五樓　　,住,1110316,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,23.2,118.91,3,2,2,有,無,4500000,37844,0,0,108.79,0,10.12,無,24.9562068,121.2377757
中壢區,房地(土地+建物)+車位,桃園市中壢區環北路３９８號十六樓之６,住,1110409,土地1建物1車位1,十六層,二十二層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,9.73,117.76,0,0,0,無,有,5000000,42459,0,0,85.9,0,0,有,24.9655563,121.2263576
中壢區,房地(土地+建物)+車位,桃園市中壢區自忠街１０７號四樓　,住,1110326,土地1建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,38.15,175.85,4,2,2,有,無,8400000,47768,0,0,126.76,0,18,有,24.944737,121.223617
中壢區,房地(土地+建物)+車位,桃園市中壢區環西路二段２２６巷７號七樓之３,住,1110308,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,9.73,114.95,3,2,1,有,有,10680000,92910,15.25,0,58.66,0.68,13.12,有,24.9641397,121.2116888
中壢區,房地(土地+建物),桃園市中壢區龍慈路９３號八樓,住,1071124,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0.09,91.79,2,2,1,有,有,6608000,71990,0,0,54.2,0,7.01,有,24.9428689,121.2471734
中壢區,房地(土地+建物),桃園市中壢區大智街１０號四樓之１５,住,1110407,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,5.99,24.06,1,0,1,有,有,1150000,47797,0,0,18.08,0,0,無,24.9530493,121.2410852
中壢區,房地(土地+建物)+車位,桃園市中壢區正光二街８０號七樓,住,1110306,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,17.13,127.83,2,2,1,有,有,8560000,66964,30.77,0,58.72,1.31,6.64,有,24.9604253,121.2055623
中壢區,房地(土地+建物),桃園市中壢區龍慈路５１號三樓,住,1080519,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,16.18,94.55,2,2,1,有,有,6758000,71475,0,0,55.82,0,7.23,有,24.9432607,121.2473737
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路６１號十三樓,住,1080719,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,20.42,119.38,2,2,1,有,有,8166000,72284,26.98,1487000,57.86,0,3.75,有,24.9431028,121.2474053
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路５７號十四樓,住,1071128,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,23.26,135.96,4,2,2,有,有,9265000,72344,26.98,1381000,64.02,0,8.64,有,24.943132,121.2474343
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路６７號八樓,住,1080508,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,26.38,154.22,3,2,2,有,有,10647000,71990,26.98,1487000,76.89,0,7.95,有,24.9430589,121.2473618
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路６３號十一樓,住,1090110,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,20.69,121,2,2,1,有,有,8254000,71974,26.98,1487000,55.46,0,7.23,有,24.9430881,121.2473908
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路９１號五樓,住,1101224,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,20.72,121.15,2,2,1,有,有,8245000,71764,26.98,1487000,55.56,0,7.23,有,24.9428835,121.2471879
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路８７號二樓,住,1080710,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,20.71,121.1,2,2,1,有,有,8210000,71430,26.98,1487000,55.53,0,7.23,有,24.9429127,121.2472168
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路５７號八樓,住,1100616,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,23.26,135.96,2,2,2,有,有,9230000,72022,26.98,1381000,64.02,0,8.64,有,24.943132,121.2474343
中壢區,房地(土地+建物),桃園市中壢區龍慈路５５號八樓,住,1100304,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,18.64,108.97,2,2,2,有,有,7849000,72029,0,0,64.02,0,8.64,有,24.9431466,121.2474488
中壢區,房地(土地+建物),桃園市中壢區龍慈路５７號五樓,住,1100908,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,18.64,108.97,2,2,2,有,有,7814000,71708,0,0,64.02,0,8.64,有,24.943132,121.2474343
中壢區,房地(土地+建物),桃園市中壢區龍慈路５５號七樓,住,1071204,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,18.64,108.97,2,2,2,有,有,7814000,71708,0,0,64.02,0,8.64,有,24.9431466,121.2474488
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路５５號二樓,住,1110118,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,22.71,132.77,2,2,2,有,有,8931000,71368,26.98,1381000,61.95,0,8.58,有,24.9431466,121.2474488
中壢區,房地(土地+建物),桃園市中壢區龍慈路８９號九樓,住,1080109,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,23.03,134.64,3,2,2,有,有,9697000,72022,0,0,77.54,0,12.24,有,24.9428981,121.2472023
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路８９號五樓,住,1080131,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,27.64,161.62,3,2,2,有,有,11034000,71695,26.98,1381000,77.54,0,12.24,有,24.9428981,121.2472023
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路６９號九樓,住,1071202,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,20.71,121.1,2,2,1,有,有,8263000,71993,26.98,1487000,55.53,0,7.23,有,24.9430443,121.2473473
中壢區,房地(土地+建物),桃園市中壢區龍慈路６１號六樓,住,1110119,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,15.81,92.4,2,2,1,有,有,6626000,71710,0,0,57.86,0,3.75,有,24.9431028,121.2474053
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路８９號四樓,住,1110304,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,27.64,161.62,3,2,2,有,有,11061000,71108,26.98,1487000,77.54,0,12.24,有,24.9428981,121.2472023
中壢區,房地(土地+建物),桃園市中壢區龍慈路５９號十三樓,住,1080430,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,16.27,95.11,2,2,1,有,有,6881000,72348,0,0,57.63,0,5.79,有,24.9431174,121.2474198
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路７３號十五樓,住,1110215,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,26.38,154.22,3,2,2,有,有,10621000,72619,26.98,1381000,76.89,0,7.95,有,24.9430151,121.2473183
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路７７號十四樓,住,1090630,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,20.69,121,2,2,1,有,有,8289000,72346,26.98,1487000,55.46,0,7.23,有,24.9429858,121.2472893
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路８３號五樓,住,1071207,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,27.64,161.62,3,2,2,有,有,11034000,71695,26.98,1381000,77.54,0,12.24,有,24.942942,121.2472458
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路８９號七樓,住,1100310,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,27.64,161.62,3,2,2,有,有,11034000,71695,26.98,1381000,77.54,0,12.24,有,24.9428981,121.2472023
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路６９號四樓,住,1100820,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,20.71,121.1,2,2,1,有,有,8183000,71143,26.98,1487000,55.53,0,7.23,有,24.9430443,121.2473473
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路８９號二樓,住,1091110,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,27.21,159.06,3,2,2,有,有,10920000,71419,26.98,1487000,77.54,0,10.53,有,24.9428981,121.2472023
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路７７號十一樓,住,1100906,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,20.69,121,2,2,1,有,有,8148000,71974,26.98,1381000,55.46,0,7.23,有,24.9429858,121.2472893
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路６１號十二樓,住,1080801,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,20.42,119.38,2,2,1,有,有,8166000,72284,26.98,1487000,57.86,0,3.75,有,24.9431028,121.2474053
